Name,AccountNumber,FirstName,LastName,Email address,LoyaltyMember,LoyaltyPoints
Erasmo Peil,295300231,Erasmo,Peil,Erasmo.Peil@itza.com,,
Madelene Hommel,885860351,Madelene,Hommel,Madelene.Hommel@itza.com,,
Fabian Barden,917505809,Fabian,Barden,Fabian.Barden@itza.com,,
Errol Stines,326076373,Errol,Stines,Errol.Stines@itza.com,,
Rachel Finneran,905109216,Rachel,Finneran,Rachel.Finneran@itza.com,,
Bridgett Shepardson,518471739,Bridgett,Shepardson,Bridgett.Shepardson@itza.com,,
Claire Westbrooks,189708583,Claire,Westbrooks,Claire.Westbrooks@itza.com,,
Christian Kinnear,791176753,Christian,Kinnear,Christian.Kinnear@itza.com,,
Carmina Benbow,511221929,Carmina,Benbow,Carmina.Benbow@itza.com,,
Shakita Martel,496667663,Shakita,Martel,Shakita.Martel@itza.com,,
Allan Mitchem,376623890,Allan,Mitchem,Allan.Mitchem@itza.com,,
Pamila Mcraney,280688600,Pamila,Mcraney,Pamila.Mcraney@itza.com,Y,10
Ninfa Guest,740954000,Ninfa,Guest,Ninfa.Guest@itza.com,,
Marlena Bury,116756792,Marlena,Bury,Marlena.Bury@itza.com,,
Billy Billips,245246423,Billy,Billips,Billy.Billips@itza.com,,
Corene Swindle,121776935,Corene,Swindle,Corene.Swindle@itza.com,Y,3
Ulysses Paige,665784644,Ulysses,Paige,Ulysses.Paige@itza.com,Y,7
Margarete Volkert,777860309,Margarete,Volkert,Margarete.Volkert@itza.com,,
Aline Gallman,929652053,Aline,Gallman,Aline.Gallman@itza.com,,
Haywood Counce,975270695,Haywood,Counce,Haywood.Counce@itza.com,,
Lyndon Rivenbark,291701704,Lyndon,Rivenbark,Lyndon.Rivenbark@itza.com,,
Angla Head,330418550,Angla,Head,Angla.Head@itza.com,,
Gavin Holley,443372730,Gavin,Holley,Gavin.Holley@itza.com,,
Alita Tisby,170582775,Alita,Tisby,Alita.Tisby@itza.com,,
Georgann Lacy,217393183,Georgann,Lacy,Georgann.Lacy@itza.com,,
Dylan Yochum,633669288,Dylan,Yochum,Dylan.Yochum@itza.com,Y,0
Barbara Sentell,989218077,Barbara,Sentell,Barbara.Sentell@itza.com,,
Taylor Fielder,689884444,Taylor,Fielder,Taylor.Fielder@itza.com,,
Renetta Verdejo,965499132,Renetta,Verdejo,Renetta.Verdejo@itza.com,,
Clemente Eyre,899414485,Clemente,Eyre,Clemente.Eyre@itza.com,,
Lawana Versace,233947798,Lawana,Versace,Lawana.Versace@itza.com,,
Josefine Haden,779961984,Josefine,Haden,Josefine.Haden@itza.com,,
Senaida Happ,468154963,Senaida,Happ,Senaida.Happ@itza.com,,
Almeta Pressnell,341006932,Almeta,Pressnell,Almeta.Pressnell@itza.com,,
Lyla Muench,888857497,Lyla,Muench,Lyla.Muench@itza.com,,
Daphne Fitzpatrick,452685719,Daphne,Fitzpatrick,Daphne.Fitzpatrick@itza.com,Y,3
Twila Treat,355667013,Twila,Treat,Twila.Treat@itza.com,,
Bernita Amesquita,531183382,Bernita,Amesquita,Bernita.Amesquita@itza.com,Y,6
Carrie Monzo,147464475,Carrie,Monzo,Carrie.Monzo@itza.com,Y,5
Judith Junk,968834997,Judith,Junk,Judith.Junk@itza.com,Y,8
Andres Kelton,217073086,Andres,Kelton,Andres.Kelton@itza.com,,
Bryon Duwe,913599591,Bryon,Duwe,Bryon.Duwe@itza.com,,
Chi Louviere,101217205,Chi,Louviere,Chi.Louviere@itza.com,,
Demetria Rioux,872344062,Demetria,Rioux,Demetria.Rioux@itza.com,Y,8
Russ Sebring,804012764,Russ,Sebring,Russ.Sebring@itza.com,,
Felice Siddall,387615798,Felice,Siddall,Felice.Siddall@itza.com,,
Alverta Hynson,150429162,Alverta,Hynson,Alverta.Hynson@itza.com,,
Ashlie Monteith,814067364,Ashlie,Monteith,Ashlie.Monteith@itza.com,,
Coy Presley,840829526,Coy,Presley,Coy.Presley@itza.com,,
Elissa Rench,401034343,Elissa,Rench,Elissa.Rench@itza.com,,
William Lierman,797549822,William,Lierman,William.Lierman@itza.com,Y,7
Hang Reineke,198497979,Hang,Reineke,Hang.Reineke@itza.com,,
Gloria Woolston,698255195,Gloria,Woolston,Gloria.Woolston@itza.com,,
Luann Bently,715591778,Luann,Bently,Luann.Bently@itza.com,,
Evelyn Cathcart,357229822,Evelyn,Cathcart,Evelyn.Cathcart@itza.com,,
Barrett Kaneshiro,381816590,Barrett,Kaneshiro,Barrett.Kaneshiro@itza.com,,
Annemarie Curran,498736373,Annemarie,Curran,Annemarie.Curran@itza.com,,
Dovie Padron,826513960,Dovie,Padron,Dovie.Padron@itza.com,,
Keturah Santana,961759908,Keturah,Santana,Keturah.Santana@itza.com,,
Neal Deckert,986743976,Neal,Deckert,Neal.Deckert@itza.com,,
Jeanmarie Teti,849104975,Jeanmarie,Teti,Jeanmarie.Teti@itza.com,,
Gaynelle Babich,847303037,Gaynelle,Babich,Gaynelle.Babich@itza.com,,
Rosie Mike,637076504,Rosie,Mike,Rosie.Mike@itza.com,,
Keila Vinson,197869833,Keila,Vinson,Keila.Vinson@itza.com,Y,5
Allyn Arteaga,257004958,Allyn,Arteaga,Allyn.Arteaga@itza.com,,
Trinidad Jared,820287409,Trinidad,Jared,Trinidad.Jared@itza.com,,
Renda Daum,438752514,Renda,Daum,Renda.Daum@itza.com,Y,8
Angele Coogan,245473850,Angele,Coogan,Angele.Coogan@itza.com,,
Mauricio Monterroso,822918458,Mauricio,Monterroso,Mauricio.Monterroso@itza.com,,
Arianne Lomax,421441250,Arianne,Lomax,Arianne.Lomax@itza.com,,
Carl Hodgdon,383573157,Carl,Hodgdon,Carl.Hodgdon@itza.com,,
Hal Mcginness,853058207,Hal,Mcginness,Hal.Mcginness@itza.com,Y,1
Jeanetta Denis,766850542,Jeanetta,Denis,Jeanetta.Denis@itza.com,,
Britany Bitner,587788438,Britany,Bitner,Britany.Bitner@itza.com,,
Judith Vannote,296190876,Judith,Vannote,Judith.Vannote@itza.com,,
Rosalva Chadd,759209316,Rosalva,Chadd,Rosalva.Chadd@itza.com,,
Tamela Disney,258679234,Tamela,Disney,Tamela.Disney@itza.com,,
Kary Strong,916909307,Kary,Strong,Kary.Strong@itza.com,Y,7
Li Sydnor,800044294,Li,Sydnor,Li.Sydnor@itza.com,,
Venice Gerard,260100418,Venice,Gerard,Venice.Gerard@itza.com,,
Margherita Biondi,735629589,Margherita,Biondi,Margherita.Biondi@itza.com,,
Malia Blasingame,230268166,Malia,Blasingame,Malia.Blasingame@itza.com,,
Jenniffer Schell,689294643,Jenniffer,Schell,Jenniffer.Schell@itza.com,,
Kali Mule,723049167,Kali,Mule,Kali.Mule@itza.com,,
Raisa Pendergrast,312732364,Raisa,Pendergrast,Raisa.Pendergrast@itza.com,,
Su Calcagni,888804296,Su,Calcagni,Su.Calcagni@itza.com,,
Elroy Schroyer,453707253,Elroy,Schroyer,Elroy.Schroyer@itza.com,,
Ryann Helmuth,603677120,Ryann,Helmuth,Ryann.Helmuth@itza.com,,
Daria Igoe,557908913,Daria,Igoe,Daria.Igoe@itza.com,,
Meggan Danis,636571756,Meggan,Danis,Meggan.Danis@itza.com,,
Maple Bibeau,466488713,Maple,Bibeau,Maple.Bibeau@itza.com,,
Malisa Paradiso,666248619,Malisa,Paradiso,Malisa.Paradiso@itza.com,,
Jenine Christen,860431808,Jenine,Christen,Jenine.Christen@itza.com,Y,4
Velda Arney,914240909,Velda,Arney,Velda.Arney@itza.com,,
Tracie Layman,727383316,Tracie,Layman,Tracie.Layman@itza.com,,
Damien Armas,597642536,Damien,Armas,Damien.Armas@itza.com,,
Shavon Bennington,565368627,Shavon,Bennington,Shavon.Bennington@itza.com,Y,5
Leda Higuera,329425228,Leda,Higuera,Leda.Higuera@itza.com,,
Sanda Costigan,330141551,Sanda,Costigan,Sanda.Costigan@itza.com,,
Marget Lindahl,621921835,Marget,Lindahl,Marget.Lindahl@itza.com,,
Moriah Chung,156776604,Moriah,Chung,Moriah.Chung@itza.com,,
Carissa Vangundy,401299204,Carissa,Vangundy,Carissa.Vangundy@itza.com,Y,6
Nikole Kirkley,480012754,Nikole,Kirkley,Nikole.Kirkley@itza.com,,
Johnetta Bormann,596586430,Johnetta,Bormann,Johnetta.Bormann@itza.com,,
Zetta Malcom,538697232,Zetta,Malcom,Zetta.Malcom@itza.com,,
Polly Scheel,468986917,Polly,Scheel,Polly.Scheel@itza.com,,
Shirley Dosch,522119351,Shirley,Dosch,Shirley.Dosch@itza.com,,
Angelo Chapman,666494498,Angelo,Chapman,Angelo.Chapman@itza.com,,
Forrest Larimore,943204017,Forrest,Larimore,Forrest.Larimore@itza.com,,
Santo Pinson,670498817,Santo,Pinson,Santo.Pinson@itza.com,,
Inocencia Brandel,753536306,Inocencia,Brandel,Inocencia.Brandel@itza.com,,
Judson Lunday,159239032,Judson,Lunday,Judson.Lunday@itza.com,,
Ben Neaves,130189521,Ben,Neaves,Ben.Neaves@itza.com,,
Alfredo Forbes,160173107,Alfredo,Forbes,Alfredo.Forbes@itza.com,,
Elbert Madia,339534666,Elbert,Madia,Elbert.Madia@itza.com,Y,0
Alysia Bedolla,658423440,Alysia,Bedolla,Alysia.Bedolla@itza.com,,
Shondra Wilcoxon,923858587,Shondra,Wilcoxon,Shondra.Wilcoxon@itza.com,,
Glenn Saucedo,222533120,Glenn,Saucedo,Glenn.Saucedo@itza.com,Y,7
Doreatha Bolz,355580751,Doreatha,Bolz,Doreatha.Bolz@itza.com,,
Shawnna Seeber,447251426,Shawnna,Seeber,Shawnna.Seeber@itza.com,,
Pearlene Marsden,329566486,Pearlene,Marsden,Pearlene.Marsden@itza.com,,
Lilla Morocco,452753350,Lilla,Morocco,Lilla.Morocco@itza.com,,
Hettie Toothaker,123539977,Hettie,Toothaker,Hettie.Toothaker@itza.com,,
Shavonda Mahoney,140070399,Shavonda,Mahoney,Shavonda.Mahoney@itza.com,,
Kori Lasiter,638043690,Kori,Lasiter,Kori.Lasiter@itza.com,Y,1
Prince Roberge,647544546,Prince,Roberge,Prince.Roberge@itza.com,Y,6
Veola Spafford,399085806,Veola,Spafford,Veola.Spafford@itza.com,,
Janay Streeter,434154477,Janay,Streeter,Janay.Streeter@itza.com,,
Shera Lomonaco,916870008,Shera,Lomonaco,Shera.Lomonaco@itza.com,,
Maritza Wing,749637055,Maritza,Wing,Maritza.Wing@itza.com,,
Dung Daugherty,858706218,Dung,Daugherty,Dung.Daugherty@itza.com,,
Tuyet Hennis,687011102,Tuyet,Hennis,Tuyet.Hennis@itza.com,,
Sharla Mcfatridge,390967075,Sharla,Mcfatridge,Sharla.Mcfatridge@itza.com,,
Lashaun Sutliff,363038896,Lashaun,Sutliff,Lashaun.Sutliff@itza.com,,
Kemberly Kluender,345379273,Kemberly,Kluender,Kemberly.Kluender@itza.com,,
Camie Cai,189798502,Camie,Cai,Camie.Cai@itza.com,,
Randi Abston,232383544,Randi,Abston,Randi.Abston@itza.com,,
Leota Grayson,732835038,Leota,Grayson,Leota.Grayson@itza.com,,
Ellis Dillard,453626755,Ellis,Dillard,Ellis.Dillard@itza.com,,
Lynne Mccord,897469136,Lynne,Mccord,Lynne.Mccord@itza.com,,
Mireya Hampson,241776732,Mireya,Hampson,Mireya.Hampson@itza.com,Y,7
Bernice Bogard,480257486,Bernice,Bogard,Bernice.Bogard@itza.com,Y,8
Chandra Gage,624675539,Chandra,Gage,Chandra.Gage@itza.com,,
April Dargie,718752639,April,Dargie,April.Dargie@itza.com,,
Rozanne Seawood,823106372,Rozanne,Seawood,Rozanne.Seawood@itza.com,,
Genny Keiper,387441703,Genny,Keiper,Genny.Keiper@itza.com,,
Hyo Leigh,969488118,Hyo,Leigh,Hyo.Leigh@itza.com,,
Damion Gracie,595136974,Damion,Gracie,Damion.Gracie@itza.com,,
Sacha Kehr,341384425,Sacha,Kehr,Sacha.Kehr@itza.com,,
Mallie Baca,757274934,Mallie,Baca,Mallie.Baca@itza.com,,
Stormy Howse,566998524,Stormy,Howse,Stormy.Howse@itza.com,,
Lashawna Mcinerney,621398792,Lashawna,Mcinerney,Lashawna.Mcinerney@itza.com,,
Rosalie Woodby,810345526,Rosalie,Woodby,Rosalie.Woodby@itza.com,,
Lissette Musich,496575942,Lissette,Musich,Lissette.Musich@itza.com,,
Ernest Ye,623515657,Ernest,Ye,Ernest.Ye@itza.com,,
Francine Warriner,797435445,Francine,Warriner,Francine.Warriner@itza.com,,
Juliann Dollison,596369764,Juliann,Dollison,Juliann.Dollison@itza.com,,
Geraldine Macko,129189444,Geraldine,Macko,Geraldine.Macko@itza.com,,
Sindy Land,547617427,Sindy,Land,Sindy.Land@itza.com,,
Angelina Inoue,152552863,Angelina,Inoue,Angelina.Inoue@itza.com,,
Jeanette Arango,738130015,Jeanette,Arango,Jeanette.Arango@itza.com,,
Maybell Greear,942339594,Maybell,Greear,Maybell.Greear@itza.com,,
Remedios Blackburn,743302435,Remedios,Blackburn,Remedios.Blackburn@itza.com,Y,10
Bessie Seidl,142039744,Bessie,Seidl,Bessie.Seidl@itza.com,,
Rico Prescott,223433628,Rico,Prescott,Rico.Prescott@itza.com,,
Lavonna Collington,677562480,Lavonna,Collington,Lavonna.Collington@itza.com,,
Lyla Strachan,201149331,Lyla,Strachan,Lyla.Strachan@itza.com,,
Arie Seeger,457670745,Arie,Seeger,Arie.Seeger@itza.com,,
Denisha Gusman,759560253,Denisha,Gusman,Denisha.Gusman@itza.com,,
Otha Brady,305670157,Otha,Brady,Otha.Brady@itza.com,,
Eboni Venson,881841775,Eboni,Venson,Eboni.Venson@itza.com,Y,6
Malorie Luton,280283773,Malorie,Luton,Malorie.Luton@itza.com,,
Chastity Tovey,612087482,Chastity,Tovey,Chastity.Tovey@itza.com,,
Tamala Swoboda,562684597,Tamala,Swoboda,Tamala.Swoboda@itza.com,,
Dana Wink,513899075,Dana,Wink,Dana.Wink@itza.com,,
Kip Holmgren,970645057,Kip,Holmgren,Kip.Holmgren@itza.com,,
Lillian Mcfatridge,837714245,Lillian,Mcfatridge,Lillian.Mcfatridge@itza.com,,
Ursula Beery,831621259,Ursula,Beery,Ursula.Beery@itza.com,Y,0
Rocky Pennypacker,401732319,Rocky,Pennypacker,Rocky.Pennypacker@itza.com,Y,2
Jacquiline Merwin,721267383,Jacquiline,Merwin,Jacquiline.Merwin@itza.com,,
Darby Valdes,847390941,Darby,Valdes,Darby.Valdes@itza.com,,
Tatyana Rhode,667367617,Tatyana,Rhode,Tatyana.Rhode@itza.com,,
Dino Hajek,354326228,Dino,Hajek,Dino.Hajek@itza.com,,
Genevieve Lunt,167412480,Genevieve,Lunt,Genevieve.Lunt@itza.com,,
Ema Augustus,535492436,Ema,Augustus,Ema.Augustus@itza.com,Y,2
Greg Cranford,940508363,Greg,Cranford,Greg.Cranford@itza.com,,
Latanya Kamin,171817470,Latanya,Kamin,Latanya.Kamin@itza.com,,
Aurelio Nies,953431246,Aurelio,Nies,Aurelio.Nies@itza.com,,
Dewayne Rowton,476285618,Dewayne,Rowton,Dewayne.Rowton@itza.com,Y,1
Yahaira Hulme,910039812,Yahaira,Hulme,Yahaira.Hulme@itza.com,,
Sung Mcniff,741789876,Sung,Mcniff,Sung.Mcniff@itza.com,,
Loan Gothard,356178828,Loan,Gothard,Loan.Gothard@itza.com,,
Dollie Catalan,141246087,Dollie,Catalan,Dollie.Catalan@itza.com,,
Marleen Sheen,254568600,Marleen,Sheen,Marleen.Sheen@itza.com,Y,8
Idell Mohler,356390259,Idell,Mohler,Idell.Mohler@itza.com,,
Amie Haro,349880197,Amie,Haro,Amie.Haro@itza.com,Y,9
Donella Fleury,360060261,Donella,Fleury,Donella.Fleury@itza.com,,
Despina Staggers,135965037,Despina,Staggers,Despina.Staggers@itza.com,,
Darci Corle,987748730,Darci,Corle,Darci.Corle@itza.com,,
Temple Tomblin,758971836,Temple,Tomblin,Temple.Tomblin@itza.com,Y,5
Ressie Grimley,498028614,Ressie,Grimley,Ressie.Grimley@itza.com,,
Sixta Krider,500555720,Sixta,Krider,Sixta.Krider@itza.com,,
Aaron Walling,144800756,Aaron,Walling,Aaron.Walling@itza.com,,
Bennett Laws,256591739,Bennett,Laws,Bennett.Laws@itza.com,,
Brunilda Lloyd,370812713,Brunilda,Lloyd,Brunilda.Lloyd@itza.com,,
Dane Niven,283491654,Dane,Niven,Dane.Niven@itza.com,,
Mauricio Staton,607841811,Mauricio,Staton,Mauricio.Staton@itza.com,,
Reatha Mchugh,362370518,Reatha,Mchugh,Reatha.Mchugh@itza.com,,
Ezra Heitz,146945584,Ezra,Heitz,Ezra.Heitz@itza.com,Y,7
Dorcas Feely,729419747,Dorcas,Feely,Dorcas.Feely@itza.com,,
Suk Henrikson,590402378,Suk,Henrikson,Suk.Henrikson@itza.com,,
Willetta Maloof,690085332,Willetta,Maloof,Willetta.Maloof@itza.com,,
Sherika Yearwood,297246253,Sherika,Yearwood,Sherika.Yearwood@itza.com,Y,10
Hertha Kennison,818944053,Hertha,Kennison,Hertha.Kennison@itza.com,,
Angelica Hollon,337685597,Angelica,Hollon,Angelica.Hollon@itza.com,,
Altha Gagner,390479010,Altha,Gagner,Altha.Gagner@itza.com,,
Yanira Stolz,957181585,Yanira,Stolz,Yanira.Stolz@itza.com,Y,3
Amos Schwebach,768129906,Amos,Schwebach,Amos.Schwebach@itza.com,,
Tyesha Spearman,217915943,Tyesha,Spearman,Tyesha.Spearman@itza.com,,
Pinkie Champine,318567424,Pinkie,Champine,Pinkie.Champine@itza.com,Y,8
Yang Dudash,677430943,Yang,Dudash,Yang.Dudash@itza.com,,
Bryon Tonkin,470092372,Bryon,Tonkin,Bryon.Tonkin@itza.com,,
Keila Kotter,500132814,Keila,Kotter,Keila.Kotter@itza.com,,
Virgil Mahlum,826318593,Virgil,Mahlum,Virgil.Mahlum@itza.com,,
Marcel Striplin,224280332,Marcel,Striplin,Marcel.Striplin@itza.com,Y,10
Adelle Belmont,566586737,Adelle,Belmont,Adelle.Belmont@itza.com,Y,8
Faye Arent,962802349,Faye,Arent,Faye.Arent@itza.com,,
Loura Delapena,700978943,Loura,Delapena,Loura.Delapena@itza.com,,
Tama Dyess,737691730,Tama,Dyess,Tama.Dyess@itza.com,Y,2
Edmund Murrill,737068444,Edmund,Murrill,Edmund.Murrill@itza.com,,
Hiedi Pines,911222413,Hiedi,Pines,Hiedi.Pines@itza.com,,
Florida Fury,610031360,Florida,Fury,Florida.Fury@itza.com,Y,8
Pearlene Sperry,104822884,Pearlene,Sperry,Pearlene.Sperry@itza.com,,
Codi Wollman,258639306,Codi,Wollman,Codi.Wollman@itza.com,,
Stephaine Vivas,887262513,Stephaine,Vivas,Stephaine.Vivas@itza.com,Y,9
Shae Behar,139454751,Shae,Behar,Shae.Behar@itza.com,,
Tora Council,336923633,Tora,Council,Tora.Council@itza.com,Y,3
Pa Huhn,604124872,Pa,Huhn,Pa.Huhn@itza.com,Y,7
Lesa Rash,645959541,Lesa,Rash,Lesa.Rash@itza.com,Y,3
Hyun Davidson,305530544,Hyun,Davidson,Hyun.Davidson@itza.com,,
Faustina Kellner,389913931,Faustina,Kellner,Faustina.Kellner@itza.com,,
Gudrun Skowronski,300592315,Gudrun,Skowronski,Gudrun.Skowronski@itza.com,,
Millie Kohut,768333324,Millie,Kohut,Millie.Kohut@itza.com,,
Ashlyn Wimbish,203200193,Ashlyn,Wimbish,Ashlyn.Wimbish@itza.com,Y,0
Ardell Elsass,724305729,Ardell,Elsass,Ardell.Elsass@itza.com,,
Kieth Dufner,832365501,Kieth,Dufner,Kieth.Dufner@itza.com,,
Eveline Schmid,255798717,Eveline,Schmid,Eveline.Schmid@itza.com,,
Anisa Wilkins,681440010,Anisa,Wilkins,Anisa.Wilkins@itza.com,,
Clotilde Stender,765855153,Clotilde,Stender,Clotilde.Stender@itza.com,,
Apryl Fryman,881665115,Apryl,Fryman,Apryl.Fryman@itza.com,,
Jerald Holdsworth,453299510,Jerald,Holdsworth,Jerald.Holdsworth@itza.com,,
Tamie Ness,564819285,Tamie,Ness,Tamie.Ness@itza.com,,
Allie Delmonte,820749430,Allie,Delmonte,Allie.Delmonte@itza.com,,
Burma Lippold,862501413,Burma,Lippold,Burma.Lippold@itza.com,Y,2
Alyson Horrocks,353081631,Alyson,Horrocks,Alyson.Horrocks@itza.com,,
Nicol Foreman,302193456,Nicol,Foreman,Nicol.Foreman@itza.com,,
Lissette Trojan,783974379,Lissette,Trojan,Lissette.Trojan@itza.com,,
Candra Vasbinder,226675773,Candra,Vasbinder,Candra.Vasbinder@itza.com,,
Edgardo Mayeda,253853623,Edgardo,Mayeda,Edgardo.Mayeda@itza.com,,
Marilee Barnum,977794986,Marilee,Barnum,Marilee.Barnum@itza.com,Y,0
Ali Kulp,300679497,Ali,Kulp,Ali.Kulp@itza.com,Y,7
Alica Snipe,555911373,Alica,Snipe,Alica.Snipe@itza.com,,
Arica Orozco,789378488,Arica,Orozco,Arica.Orozco@itza.com,,
Mendy Naber,791713923,Mendy,Naber,Mendy.Naber@itza.com,,
Josette Miele,900033090,Josette,Miele,Josette.Miele@itza.com,,
Lessie Voelker,133226000,Lessie,Voelker,Lessie.Voelker@itza.com,,
Claris Davi,685688309,Claris,Davi,Claris.Davi@itza.com,,
Rashad Watters,347485495,Rashad,Watters,Rashad.Watters@itza.com,,
Sylvester Bloomberg,735036078,Sylvester,Bloomberg,Sylvester.Bloomberg@itza.com,,
Cira Magallan,424396195,Cira,Magallan,Cira.Magallan@itza.com,,
Estell Griffin,227040914,Estell,Griffin,Estell.Griffin@itza.com,,
Twanna Amick,819334829,Twanna,Amick,Twanna.Amick@itza.com,,
Isaura Ault,930756703,Isaura,Ault,Isaura.Ault@itza.com,,
Latoyia Geronimo,237455620,Latoyia,Geronimo,Latoyia.Geronimo@itza.com,,
Rashida Stotler,335520072,Rashida,Stotler,Rashida.Stotler@itza.com,,
Nana Byer,391174236,Nana,Byer,Nana.Byer@itza.com,,
Yaeko Locicero,324110012,Yaeko,Locicero,Yaeko.Locicero@itza.com,Y,7
Daniela Lucchesi,647447745,Daniela,Lucchesi,Daniela.Lucchesi@itza.com,,
Felisha Boler,383636569,Felisha,Boler,Felisha.Boler@itza.com,,
Nikita Sia,867018242,Nikita,Sia,Nikita.Sia@itza.com,,
Kaylene Yokota,222341409,Kaylene,Yokota,Kaylene.Yokota@itza.com,Y,3
Catarina Burrage,872152314,Catarina,Burrage,Catarina.Burrage@itza.com,,
Teri Janusz,467515679,Teri,Janusz,Teri.Janusz@itza.com,Y,3
Robin Patel,204262634,Robin,Patel,Robin.Patel@itza.com,,
Jesse Mcnett,621623696,Jesse,Mcnett,Jesse.Mcnett@itza.com,Y,1
Frank Hutt,964637792,Frank,Hutt,Frank.Hutt@itza.com,,
Delphine Dworkin,611148316,Delphine,Dworkin,Delphine.Dworkin@itza.com,,
Melaine Shingler,213529517,Melaine,Shingler,Melaine.Shingler@itza.com,,
Gena So,788964576,Gena,So,Gena.So@itza.com,Y,0
